player,player_id,season,posteam,full_player_name,position
R.Davis,32013030-2d30-3033-3335-33305589b0cc,2019,WAS,Robert Davis,WR
R.Davis,32013030-2d30-3033-3430-333422044d51,2019,TEN,Rashard Davis,WR
R.Dwelley,32013030-2d30-3033-3430-3733523a0830,2018,SF,Ross Dwelley,TE
R.Dwelley,32013030-2d30-3033-3430-3733523a0830,2019,SF,Ross Dwelley,TE
R.Ellison,32013030-2d30-3032-3935-38376e592109,2012,MIN,Rhett Ellison,TE
R.Ellison,32013030-2d30-3032-3935-38376e592109,2013,MIN,Rhett Ellison,TE
R.Ellison,32013030-2d30-3032-3935-38376e592109,2014,MIN,Rhett Ellison,TE
R.Ellison,32013030-2d30-3032-3935-38376e592109,2015,MIN,Rhett Ellison,TE
R.Ellison,32013030-2d30-3032-3935-38376e592109,2016,MIN,Rhett Ellison,TE
R.Ellison,32013030-2d30-3032-3935-38376e592109,2017,NYG,Rhett Ellison,TE
R.Ellison,32013030-2d30-3032-3935-38376e592109,2018,NYG,Rhett Ellison,TE
R.Ellison,32013030-2d30-3032-3935-38376e592109,2019,NYG,Rhett Ellison,TE
R.Fitzpatrick,32013030-2d30-3032-3336-3832b8755c76,2013,TEN,Ryan Fitzpatrick,QB
R.Foster,32013030-2d30-3033-3435-31302f44c93f,2018,BUF,Robert Foster,WR
R.Foster,32013030-2d30-3033-3435-31302f44c93f,2019,BUF,Robert Foster,WR
R.Freeman,32013030-2d30-3033-3438-333853d70ef0,2018,DEN,Royce Freeman,RB
R.Freeman,32013030-2d30-3033-3438-333853d70ef0,2019,DEN,Royce Freeman,RB
R.Gafford,32013030-2d30-3033-3436-3630749bb75e,2019,LV,Rico Gafford,WR
R.Gage,32013030-2d30-3033-3434-31315ee55543,2018,ATL,Russell Gage,WR
R.Gage,32013030-2d30-3033-3434-31315ee55543,2019,ATL,Russell Gage,WR
R.Gathers,32013030-2d30-3033-3330-353481c8b362,2018,DAL,Rico Gathers,TE
R.Goodman,32013030-2d30-3032-3735-3835db89074c,2011,LAC,Richard Goodman,WR
R.Goodman,32013030-2d30-3032-3735-3835db89074c,2012,LAC,Richard Goodman,WR
R.Gordon,32013030-2d30-3032-3831-31394790c2ab,2011,LV,Richard Gordon,TE
R.Gordon,32013030-2d30-3032-3831-31394790c2ab,2012,LV,Richard Gordon,TE
R.Gordon,32013030-2d30-3032-3831-31394790c2ab,2013,KC,Richard Gordon,TE
R.Gordon,32013030-2d30-3032-3831-31394790c2ab,2014,KC,Richard Gordon,TE
R.Graham,32013030-2d30-3033-3032-33338204d86b,2013,HOU,Ray Graham,RB
R.Grant,32013030-2d30-3032-3239-3834762d9177,2011,GB,Ryan Grant,RB
R.Grant,32013030-2d30-3032-3239-3834762d9177,2012,GB,Ryan Grant,RB
R.Grant,32013030-2d30-3033-3130-36387192b459,2014,WAS,Ryan Grant,WR
R.Grant,32013030-2d30-3033-3130-36387192b459,2015,WAS,Ryan Grant,WR
R.Grant,32013030-2d30-3033-3130-36387192b459,2016,WAS,Ryan Grant,WR
R.Grant,32013030-2d30-3033-3130-36387192b459,2017,WAS,Ryan Grant,WR
R.Grant,32013030-2d30-3033-3130-36387192b459,2018,IND,Ryan Grant,WR
R.Grant,32013030-2d30-3033-3130-36387192b459,2019,LV,Ryan Grant,WR
R.Greene,32013030-2d30-3033-3231-3730b4e3ffb5,2015,JAX,Rashad Greene,WR
R.Greene,32013030-2d30-3033-3231-3730b4e3ffb5,2016,JAX,Rashad Greene,WR
R.Greene,32013030-2d30-3033-3231-3730b4e3ffb5,2018,JAX,Rashad Greene,WR
R.Griffin,32013030-2d30-3032-3936-3635a9a33dbc,2012,WAS,Robert Griffin III,QB
R.Griffin,32013030-2d30-3033-3031-3038579b9acf,2013,HOU,Ryan Griffin,TE
R.Griffin,32013030-2d30-3033-3031-3038579b9acf,2014,HOU,Ryan Griffin,TE
R.Griffin,32013030-2d30-3033-3031-3038579b9acf,2015,HOU,Ryan Griffin,TE
R.Griffin,32013030-2d30-3033-3031-3038579b9acf,2016,HOU,Ryan Griffin,TE
